key	title	publishingOrganizationKey	publishingOrganizationTitle	matched_keywords
1c5c3e48-7fc0-4d4f-96e6-c4df2c747f34	The Herpetology Collection at the Staatliches Museum für Naturkunde Stuttgart	0674aea0-a7e1-11d8-9534-b8a03c50a862	Staatliche Naturwissenschaftliche Sammlungen Bayerns	
6df9e520-9cb1-4c92-bbee-565b64edcc0e	Herbier du Muséum d'Angers	02fce6f4-8dcd-4eaf-afe9-28ba30822751	Récolnat	
ff01c14e-06ce-47b6-8ea0-316cfb8fcff7	pins	3b5161b7-9831-4444-9822-a60df4df107d	IRD - Institute of Research for Development	
829026f2-f762-11e1-a439-00145eb45e9a	Collection Ornithologie - SNSD	c76cf030-2a95-11da-9cc1-b8a03c50a862	Senckenberg	
e37d0298-8e57-449c-8069-c5d73391e061	Digitization of plant specimens from Rhoen and Vogelsberg (FULD)	c76cf030-2a95-11da-9cc1-b8a03c50a862	Senckenberg	
431ad66c-2306-4cf9-9f89-56ced9942f89	Erbario Micheli-Targioni Tozzetti | Micheli-Targioni Tozzetti herbarium	6563e0ba-fab7-431c-b897-b6bf364f4f1e	Consiglio Nazionale delle Ricerche, Istituti del Dipartimento di Scienze Bio-AgroAlimentari (CNR-DiSBA)	
4b3541f2-92e0-4cc6-bb10-a2a2ffe61c60	arim	3b5161b7-9831-4444-9822-a60df4df107d	IRD - Institute of Research for Development	
b4b8935c-9ede-43ad-9326-84065b36c927	Muséum d'Avignon	02fce6f4-8dcd-4eaf-afe9-28ba30822751	Récolnat	
afaa7ff7-834d-49fb-924c-9c4cb9f6dbd2	Collezione di Anthocerotophyta e Marchantiophyta dell’Erbario generale del Museo di Storia Naturale di Firenze | Anthocerotophyta and Marchantiophyta collection of the General Herbarium of the Natural History Museum of Florence	6563e0ba-fab7-431c-b897-b6bf364f4f1e	Consiglio Nazionale delle Ricerche, Istituti del Dipartimento di Scienze Bio-AgroAlimentari (CNR-DiSBA)	
acc48ac6-2c8f-461f-895a-ca1218ef12c8	Terrestrial and Limnic Invertebrate Collection (GNM)	45e5c621-df96-4ea7-bbc6-aa3e53b90bb8	Gothenburg Natural History Museum (GNM)	invertebrate
858fa2ec-f762-11e1-a439-00145eb45e9a	The Myxomycetes Collections at the Botanische Staatssammlung München - Collection of Hermann Neubert	0674aea0-a7e1-11d8-9534-b8a03c50a862	Staatliche Naturwissenschaftliche Sammlungen Bayerns	
dd10d30a-76f7-47fa-abeb-a213f1646f12	Mediterranean Germplams Genebank - Triticum collection (ITA436-MGG-Triticum)	6563e0ba-fab7-431c-b897-b6bf364f4f1e	Consiglio Nazionale delle Ricerche, Istituti del Dipartimento di Scienze Bio-AgroAlimentari (CNR-DiSBA)	
fea587f0-540e-11de-bdf7-b8a03c50a862	Beetles (LSM)	27ff7c19-1718-4e8b-a7e7-baf7682b3bd1	Skogs- och samemuseet i Lycksele AB	
82833b9a-f762-11e1-a439-00145eb45e9a	Collection Trichoptera - SMF	c76cf030-2a95-11da-9cc1-b8a03c50a862	Senckenberg	
8277b324-f762-11e1-a439-00145eb45e9a	The Spider Collection at the Staatliches Museum für Naturkunde Karlsruhe	0674aea0-a7e1-11d8-9534-b8a03c50a862	Staatliche Naturwissenschaftliche Sammlungen Bayerns	
828210a8-f762-11e1-a439-00145eb45e9a	Collection Bernstein - SMF	c76cf030-2a95-11da-9cc1-b8a03c50a862	Senckenberg	
d45b8e8a-1f32-40b0-a132-bd690bd90b30	ZFMK Hymenoptera collection	6e1cad80-bdf5-11d8-84ea-b8a03c50a862	Leibniz Institute for the Analysis of Biodiversity Change (LIB)	
18ae6f32-c82b-4065-a0aa-4167be45c78e	Herbier du CIRAD	02fce6f4-8dcd-4eaf-afe9-28ba30822751	Récolnat	
9669ebc2-f762-11e1-a439-00145eb45e9a	Collection Coleoptera SMF	c76cf030-2a95-11da-9cc1-b8a03c50a862	Senckenberg	
85bb8376-f762-11e1-a439-00145eb45e9a	Bryophyte collection	315127e0-d7bb-11db-9885-b8a03c50a862	Museu Nacional de História Natural e da Ciência	
8286cf26-f762-11e1-a439-00145eb45e9a	Collection Herpetologie - SNSD	c76cf030-2a95-11da-9cc1-b8a03c50a862	Senckenberg	
afaa80a2-6167-47e1-baae-5450206d07dd	The Arthropoda Varia Collection at the Zoologische Staatssammlung München	0674aea0-a7e1-11d8-9534-b8a03c50a862	Staatliche Naturwissenschaftliche Sammlungen Bayerns	
b89a7f02-021d-4e7a-b19f-575d10578a6d	The Vascular Plants Collection of the University of Goettingen	0674aea0-a7e1-11d8-9534-b8a03c50a862	Staatliche Naturwissenschaftliche Sammlungen Bayerns	
96703220-f762-11e1-a439-00145eb45e9a	Collection Thysanoptera SMF	c76cf030-2a95-11da-9cc1-b8a03c50a862	Senckenberg	
96653d3e-f762-11e1-a439-00145eb45e9a	Collection Aves (bird skeletons) SMF	c76cf030-2a95-11da-9cc1-b8a03c50a862	Senckenberg	
97bd086a-cf43-11e2-a9b3-00145eb45e9a	Jena Microbial Resource Collection (JMRC) at Leibniz Institute for Natural Product Research and Infection Biology e.V. Hans-Knöll-Institute (HKI) and Friedrich Schiller University Jena	0674aea0-a7e1-11d8-9534-b8a03c50a862	Staatliche Naturwissenschaftliche Sammlungen Bayerns	
4d608085-da7f-4c86-bc7d-7f5a142b6496	Herbier de Strasbourg	a6de8f30-d931-11db-973c-b8a03c50a862	Université de Strasbourg	
