key	title	publishingOrganizationKey	publishingOrganizationTitle	matched_keywords	total_species	worms_species	worms_percentage	total_occurrences
8ff54e62-bc79-4e39-b17a-ca1352af1dd8	Projet éolien (SEPE Les Mottes) sur les Communes de Aumâtre et Fontaine-le-Sec - chiroptères inventaire complémentaire	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	UAR PatriNat (OFB-MNHN-CNRS-IRD), Paris	NA	4	3	75	121
8304ec0a-ddc1-4f79-9d76-e38c6096cc1c	Ictiofauna presente en fuentes hídricas del Cerro Cuchillo, Riosucio, Chocó. 2017	e1050db2-9faf-4d72-b860-295debaf9d2a	Instituto de Investigaciones Ambientales del Pacífico John Von Neumann - IIAP	NA	6	6	100	22
5bc563b4-cce4-4a63-8e6f-ac7cd1936a72	Projet éolien (SEPE Les Mottes) sur les Communes de Aumâtre et Fontaine-le-Sec - Oiseaux - Points d'écoute	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	UAR PatriNat (OFB-MNHN-CNRS-IRD), Paris	sea	47	42	89.36170212765957	253
c414e691-da52-4820-9ce4-3fd203f586dd	Nouveau pont du Larivot sur la rivière de Cayenne et ses raccordements à la RN1 bidirectionnelle - GEPOG_MAMMIF_INV	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	UAR PatriNat (OFB-MNHN-CNRS-IRD), Paris	NA	2	2	100	57
6c3ce2a4-c5d7-4c2f-9dd5-3623666b9b96	Nouveau pont du Larivot sur la rivière de Cayenne et ses raccordements à la RN1 bidirectionnelle - GEPOG_POISSON_INV	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	UAR PatriNat (OFB-MNHN-CNRS-IRD), Paris	NA	5	5	100	8
6ec0cd2d-5fc3-4319-b5ed-90c8817eab2b	Nouveau pont du Larivot sur la rivière de Cayenne et ses raccordements à la RN1 bidirectionnelle - GEPOG_REPTILE_INV	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	UAR PatriNat (OFB-MNHN-CNRS-IRD), Paris	NA	2	2	100	12
c3308998-4bde-45d3-a72e-eb72b36de9ed	Nouveau pont du Larivot sur la rivière de Cayenne et ses raccordements à la RN1 bidirectionnelle - HYDRECO_MOLLUSQUE_INV	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	UAR PatriNat (OFB-MNHN-CNRS-IRD), Paris	NA	5	5	100	82
10e8f89e-643a-47da-a9c9-0e67fa64dfee	Nouveau pont du Larivot sur la rivière de Cayenne et ses raccordements à la RN1 bidirectionnelle - Biotope_POISSON_INV	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	UAR PatriNat (OFB-MNHN-CNRS-IRD), Paris	NA	1	1	100	1
cd31232e-57a9-4777-ab9d-406333c42769	Nouveau pont du Larivot sur la rivière de Cayenne et ses raccordements à la RN1 bidirectionnelle - HYDRECO_ICHTYO_INV	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	UAR PatriNat (OFB-MNHN-CNRS-IRD), Paris	NA	63	63	100	3792
8abed1d1-364e-4f69-aea8-2932a744d4f9	Nouveau pont du Larivot sur la rivière de Cayenne et ses raccordements à la RN1 bidirectionnelle - HYDRECO_CRUSTACEAE_INV	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	UAR PatriNat (OFB-MNHN-CNRS-IRD), Paris	NA	10	10	100	11894
2a0f0847-7277-4f5e-b051-68ac0ceed89e	Dynamics of Bird Communities in South-Eastern Ukraine (1987–2017)	c8ac507d-0869-4792-9c3a-6f2e60c2b1de	Bohdan Khmelnytsky Melitopol State Pedagogical University	NA	152	136	89.47368421052632	28331
7b40e3f2-e732-49cb-9058-66aae55c230a	Projet éolien (SEPE Les Mottes) sur les Communes de Aumâtre et Fontaine-le-Sec - Oiseaux - Inventaire non standardisé	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	UAR PatriNat (OFB-MNHN-CNRS-IRD), Paris	sea	75	66	88	210
ef7bb708-23d9-44cb-b3b1-45936e7ef3aa	Projet éolien (SEPE Les Mottes) sur les Communes de Aumâtre et Fontaine-le-Sec - Chauves-souris - Points d'écoute au sol	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	UAR PatriNat (OFB-MNHN-CNRS-IRD), Paris	NA	11	9	81.81818181818183	3199
0ee83c9d-e34d-42f1-b65d-0263b5eeb497	Caracterización de la ictiofauna presente en el río Tutunendo, Municipio de Quibdó-Chocó	e1050db2-9faf-4d72-b860-295debaf9d2a	Instituto de Investigaciones Ambientales del Pacífico John Von Neumann - IIAP	NA	22	22	100	22
4868c67c-14eb-47f2-ac85-0a17b314f703	Données produites ou récoltées par le GCLR dans le cadre  de ses activités (sans métadonnées)-Données personnelles de Alexandre HAQUART	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	UAR PatriNat (OFB-MNHN-CNRS-IRD), Paris	NA	21	15	71.42857142857143	123
3d583c21-5095-4071-9dec-ede1f947215e	Données produites ou récoltées par le GCLR dans le cadre  de ses activités (sans métadonnées)-Données personnelles de Olivier VINET	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	UAR PatriNat (OFB-MNHN-CNRS-IRD), Paris	NA	5	4	80	21
2098c327-c6c7-48ee-ab40-ea85145a2908	Données produites ou récoltées par le GCLR dans le cadre  de ses activités (sans métadonnées)-Données personnelles de Michel JAY	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	UAR PatriNat (OFB-MNHN-CNRS-IRD), Paris	NA	8	6	75	16
